date,BernalilloCountyM,BernalilloCountyS,McKinleyCountyM,McKinleyCountyS,EddyCountyM,EddyCountyS,ChavesCountyM,ChavesCountyS,OteroCountyM,OteroCountyS
"Jan 21, 2021",,,,,,,,,,
"Jan 21, 2021",,,,,,,,,,
"Jan 21, 2021",232 new cases in Bernalillo County,,92 new cases in McKinley County,,50 new cases in Eddy County,,59 new cases in Chaves County,,29 new cases in Otero County,
"Jan 21, 2021",,,,,,,,,,
"Jan 5, 2021",,,,,,,,,,
"Jan 5, 2021",,,,,,,,,,
"Jan 6, 2021",443 new cases in Bernalillo County,,82 new cases in McKinley County,,14 new cases in Eddy County,,76 new cases in Chaves County,,28 new cases in Otero County,
"Jan 6, 2021",,,,,,,,,,
"Jan 7, 2021",449 new cases in Bernalillo County,,69 new cases in McKinley County,,131 new cases in Eddy County,,77 new cases in Chaves County,,52 new cases in Otero County,
"Jan 7, 2021",,,,,,,,,,
"Jan 8, 2021",430 new cases in Bernalillo County,,99 new cases in McKinley County,,57 new cases in Eddy County,,76 new cases in Chaves County,,19 new cases in Otero County,
"Jan 8, 2021",,,,,,,,,,
"Jan 9, 2021",374 new cases in Bernalillo County,,92 new cases in McKinley County,,72 new cases in Eddy County,,60 new cases in Chaves County,,44 new cases in Otero County,
"Jan 9, 2021",,,,,,,,,,
"Jan 10, 2021",270 new cases in Bernalillo County,,61 new cases in McKinley County,,97 new cases in Eddy County,,58 new cases in Chaves County,,29 new cases in Otero County,
"Jan 10, 2021",,,,,,,,,,
"Jan 11, 2021",261 new cases in Bernalillo County,,40 new cases in McKinley County,,34 new cases in Eddy County,,19 new cases in Chaves County,,40 new cases in Otero County,
"Jan 11, 2021",,,,,,,,,,
"Jan 12, 2021",231 new cases in Bernalillo County,,60 new cases in McKinley County,,39 new cases in Eddy County,,35 new cases in Chaves County,,10 new cases in Otero County,
"Jan 12, 2021",,,,,,,,,,
"Jan 13, 2021",352 new cases in Bernalillo County,,69 new cases in McKinley County,,45 new cases in Eddy County,,17 new cases in Chaves County,,20 new cases in Otero County,
"Jan 13, 2021",,,,,,,,,,
,,,,,,,,,,
"Jan 13, 2021",,,,,,,,,,
"Jan 13, 2021",,,,,,,,,,
"Dec 30, 2020",,,,,,,,,,
"Dec 30, 2020",,,,,,,,,,
"Jan 3, 2021",345 new cases in Bernalillo County,,42 new cases in McKinley County,,55 new cases in Eddy County,,30 new cases in Chaves County,,10 new cases in Otero County,
"Jan 3, 2021",,,,,,,,,,
"Dec 29, 2020",353 new cases in Bernalillo County,,117 new cases in McKinley County,,77 new cases in Eddy County,,39 new cases in Chaves County,,17 new cases in Otero County,
"Dec 29, 2020",,,,,,,,,,
"Jan 1, 2021",316 new cases in Bernalillo County,,74 new cases in McKinley County,,42 new cases in Eddy County,,55 new cases in Chaves County,,6 new cases in Otero County,
"Jan 1, 2021",,,,,,,,,,
"Dec 28, 2020",230 new cases in Bernalillo County,,47 new cases in McKinley County,,7 new cases in Eddy County,,22 new cases in Chaves County,,8 new cases in Otero County,
"Dec 28, 2020",,,,,,,,,,
"Dec 30, 2020",335 new cases in Bernalillo County,,99 new cases in McKinley County,,45 new cases in Eddy County,,75 new cases in Chaves County,,14 new cases in Otero County,
"Dec 30, 2020",,,,,,,,,,
"Jan 2, 2021",268 new cases in Bernalillo County,,74 new cases in McKinley County,,104 new cases in Eddy County,,48 new cases in Chaves County,,10 new cases in Otero County,
"Jan 2, 2021",,,,,,,,,,
"Dec 31, 2020",434 new cases in Bernalillo County,,94 new cases in McKinley County,,44 new cases in Eddy County,,76 new cases in Chaves County,,36 new cases in Otero County,
"Dec 31, 2020",,,,,,,,,,
"Jan 5, 2021",484 new cases in Bernalillo County,,93 new cases in McKinley County,,25 new cases in Eddy County,,47 new cases in Chaves County,,26 new cases in Otero County,
"Jan 4, 2021",279 new cases in Bernalillo County,,34 new cases in McKinley County,,44 new cases in Eddy County,,40 new cases in Chaves County,,18 new cases in Otero County,
"Jan 4, 2021",,,,,,,,,,
"Jan 5, 2021",,,,,,,,,,
,,,,,,,,,,
"Dec 21, 2020",,,,,,,,,,
"Dec 21, 2020",,,,,,,,,,
"Dec 22, 2020",302 new cases in Bernalillo County,,102 new cases in McKinley County,,69 new cases in Eddy County,,54 new cases in Chaves County,,22 new cases in Otero County,
"Dec 22, 2020",,,,,,,,,,
"Dec 20, 2020",278 new cases in Bernalillo County,,79 new cases in McKinley County,,45 new cases in Eddy County,,26 new cases in Chaves County,,10 new cases in Otero County,
"Dec 20, 2020",,,,,,,,,,
"Dec 23, 2020",337 new cases in Bernalillo County,,63 new cases in McKinley County,,44 new cases in Eddy County,,36 new cases in Chaves County,,5 new cases in Otero County,
"Dec 23, 2020",,,,,,,,,,
"Dec 21, 2020",293 new cases in Bernalillo County,,41 new cases in McKinley County,,19 new cases in Eddy County,,27 new cases in Chaves County,,11 new cases in Otero County,
"Dec 21, 2020",,,,,,,,,,
"Dec 24, 2020",487 new cases in Bernalillo County,,73 new cases in McKinley County,,92 new cases in Eddy County,,293 new cases in Chaves County,,29 new cases in Otero County,
"Dec 24, 2020",,,,,,,,,,
"Dec 22, 2020",,,,,,,,,,
"Dec 22, 2020",,,,,,,,,,
"Dec 25, 2020",428 new cases in Bernalillo County,,66 new cases in McKinley County,,31 new cases in Eddy County,,108 new cases in Chaves County,,13 new cases in Otero County,
"Dec 25, 2020",,,,,,,,,,
"Dec 26, 2020",125 new cases in Bernalillo County,,34 new cases in McKinley County,,49 new cases in Eddy County,,34 new cases in Chaves County,,13 new cases in Otero County,
"Dec 26, 2020",,,,,,,,,,
"Dec 27, 2020",240 new cases in Bernalillo County,,28 new cases in McKinley County,,44 new cases in Eddy County,,30 new cases in Chaves County,,3 new cases in Otero County,
"Dec 27, 2020",,,,,,,,,,
,,,,,,,,,,
"Dec 14, 2020",,,,,,,,,,
"Dec 14, 2020",,,,,,,,,,
"Dec 16, 2020",,,,,,,,,,
"Dec 16, 2020",,,,,,,,,,
"Dec 13, 2020",459 new cases in Bernalillo County,,86 new cases in McKinley County,,43 new cases in Eddy County,,83 new cases in Chaves County,,26 new cases in Otero County,
